Kreis;31.12.2015;31.12.2016;31.12.2017;31.12.2018;31.12.2019
Bodenseekreis;212201;213070;214655;216227;217470
Diepholz, Landkreis;213976;215082;216012;216886;217089
Potsdam-Mittelmark, Landkreis;210910;212207;213214;214664;216566
Lübeck;216253;216712;216318;217198;216530
Rostock, Landkreis;213473;213945;214635;215113;215794
Mayen-Koblenz, Landkreis;211925;212968;213554;214259;214434
Erfurt;210118;211113;212988;213699;213981
Harz, Landkreis;221366;219643;216299;214446;213310
Oberhavel, Landkreis;207524;208639;209893;211249;212914
Schwarzwald-Baar-Kreis;209648;210084;211207;212381;212506
Ludwigslust-Parchim, Landkreis;214113;212562;212522;212618;211779
Mainz-Bingen, Landkreis;208749;209184;209785;210889;211417
Oberhausen;210934;211382;211422;210829;210764
Rostock;206011;207513;208409;208886;209191
Stade, Landkreis;200054;201638;201887;203102;204512
Kassel;197984;199062;200736;201585;202137
Westerwaldkreis;200302;201027;201039;201597;201904
Biberach, Landkreis;194019;196206;198265;199742;201282
Schleswig-Flensburg, Landkreis;196839;198685;199503;200025;201156
Ostholstein, Landkreis;199574;200813;200584;200581;200539
Enzkreis;196066;197246;198369;198905;199556
Cuxhaven, Landkreis;198103;198670;198100;198213;198038
Herzogtum Lauenburg, Landkreis;192999;195063;196074;197264;198019
Nordsachsen, Landkreis;197605;198063;197794;197673;197741
Alb-Donau-Kreis;192104;193318;194629;196047;197076
Schwäbisch Hall, Landkreis;191614;192958;194203;195861;196761
Märkisch-Oderland, Landkreis;190714;191685;192921;194328;195751
Saarlouis, Landkreis;197009;196609;195815;195201;194319
Regensburg, Landkreis;189390;190481;192200;193572;194070
Euskirchen, Landkreis;191165;191202;192127;192840;193656
Passau, Landkreis;188336;188904;190504;192043;192656
Aurich, Landkreis;189199;190066;189949;189848;189694
Zollernalbkreis;188595;187401;188170;188935;189363
Salzlandkreis;196695;194575;192739;190560;189125
Hagen;189044;188266;187730;188814;188686
Rheingau-Taunus-Kreis;184114;185668;186602;187157;187160
Barnim, Landkreis;177411;179365;180864;182760;185244
Ansbach, Landkreis;181314;182178;183256;183949;184591
Lüneburg, Landkreis;180719;181605;182930;183372;184139
Saalekreis;186431;185951;185494;184582;183815
Neuwied, Landkreis;180655;181537;181655;181941;182811
Potsdam;167745;171810;175710;178089;180334
Freising, Landkreis;173225;175803;177997;179116;180007
Hamm;179397;179571;179185;179111;179916
Schwalm-Eder-Kreis;180310;181105;180754;180222;179673
Celle, Landkreis;177971;178370;178764;178936;179011
Burgenlandkreis;184081;183174;181968;180190;178846
Oder-Spree, Landkreis;182397;178849;178347;178658;178803
Traunstein, Landkreis;174162;175431;176290;177089;177319
Gifhorn, Landkreis;174205;174749;175079;175920;176523
Neu-Ulm, Landkreis;170309;171011;172546;174200;175204
Aschaffenburg, Landkreis;173695;173504;173969;174208;174200
Ludwigshafen am Rhein;164718;166621;168497;171061;172253
Limburg-Weilburg, Landkreis;171922;172120;171971;172083;171912
Waldshut, Landkreis;167861;168852;170198;170619;171003
Börde, Landkreis;173473;172959;172619;171734;170923
Nürnberger Land, Landkreis;167643;168893;169752;170365;170792
Dahme-Spreewald, Landkreis;164528;166074;167319;169067;170791
Leer, Landkreis;167548;168253;168946;169809;170756
Cloppenburg, Landkreis;164734;165930;167925;169348;170682
Mülheim an der Ruhr;169278;170936;171265;170880;170632
Teltow-Fläming, Landkreis;163553;164771;166890;168296;169997
Oldenburg (Oldenburg);163830;165711;167081;168210;169077
Emmendingen, Landkreis;162082;163251;164712;165383;166408
Nordfriesland, Landkreis;163960;164926;165462;165507;165951
Osnabrück;162403;164070;164374;164748;165251
Rotenburg (Wümme), Landkreis;163253;163372;163377;163455;163782
Leverkusen;163487;163113;163577;163838;163729
Havelland, Landkreis;158236;159685;160710;161909;162996
Würzburg, Landkreis;160427;161041;161340;161834;162302
Heidelberg;156267;159914;160601;160355;161485
Landshut, Landkreis;154577;155442;157239;158698;159895
Darmstadt;155353;157437;158254;159207;159878
Solingen;158726;158908;158803;159360;159245
Calw, Landkreis;155359;155960;157424;158397;159201
Anhalt-Bitterfeld, Landkreis;164817;163100;161264;159854;158486
Bad Kreuznach, Landkreis;156821;157392;157549;158080;158345
Schaumburg, Landkreis;156206;157616;157883;157781;157820
Nordwestmecklenburg, Landkreis;156270;156825;156993;156729;157322
Herne;155851;156774;156490;156374;156449
Waldeck-Frankenberg, Landkreis;157592;157967;157256;156953;156406
Oberallgäu, Landkreis;152672;153759;154568;155362;156008
Dachau, Landkreis;149370;150839;152703;153884;154899
Rhein-Pfalz-Kreis;151546;153043;153629;154201;154609
Regensburg;145465;148638;150894;152610;153094
Trier-Saarburg, Landkreis;147999;147833;148532;148945;149398
Hameln-Pyrmont, Landkreis;148281;148265;148296;148559;148549
Schwandorf, Landkreis;144864;145382;146487;147189;147872
Bamberg, Landkreis;145570;146042;146584;147086;147163
Unterallgäu, Landkreis;140419;141165;142544;144041;145341
Ebersberg, Landkreis;137421;139016;140800;142142;143649
Neckar-Odenwald-Kreis;142936;143278;143376;143535;143633
Vechta, Landkreis;137866;139671;140540;141598;142814
Saarpfalz-Kreis;144584;144100;143402;142631;142196
Ostallgäu, Landkreis;137709;138265;139278;140316;141182
Tuttlingen, Landkreis;136606;138119;139397;140152;140766
Heidekreis;140264;139641;139099;139755;140673
Höxter, Landkreis;144010;141855;141565;140667;140251
Rottweil, Landkreis;137500;138327;138858;139455;139878
Erding, Landkreis;133747;135429;136884;137660;138182
Ingolstadt;132438;133639;135244;136981;137392
Erlangen-Höchstadt, Landkreis;134136;134640;135334;136271;137262
Grafschaft Bentheim, Landkreis;135662;135770;135859;136511;137162
Verden, Landkreis;134645;135842;136590;136792;137133
Starnberg, Landkreis;133621;134732;135545;136092;136667
Goslar, Landkreis;138236;137979;137563;137014;136292
Weilheim-Schongau, Landkreis;132906;133859;134252;135348;135478
Mansfeld-Südharz, Landkreis;141408;139781;138013;136249;134942
Gotha, Landkreis;136831;135430;135521;135452;134908
Peine, Landkreis;132320;132979;133368;133965;134801
Aichach-Friedberg, Landkreis;130916;131399;132596;133596;134655
Neumarkt in der Oberpfalz, Landkreis;130385;131662;132644;133561;134573
